date,open,close,high,low,volume,code
2016-09-08,33.526,33.697,33.888,33.459,335396.0,601318
2016-09-09,33.745,33.774,34.136,33.602,440407.0,601318
2016-09-12,33.25,33.45,33.478,32.574,866024.0,601318
2016-09-13,33.316,33.069,33.316,32.764,317444.0,601318
2016-09-14,32.859,32.669,32.955,32.545,352136.0,601318
2016-09-19,32.764,33.307,33.45,32.764,372666.0,601318
2016-09-20,33.307,33.193,33.307,33.145,146663.0,601318
2016-09-21,33.231,33.021,33.316,32.84,352479.0,601318
2016-09-22,33.155,33.345,33.688,33.155,541329.0,601318
2016-09-23,33.383,33.231,33.526,33.069,314391.0,601318
2016-09-26,33.107,32.745,33.126,32.697,328526.0,601318
2016-09-27,32.602,32.726,32.764,32.564,458251.0,601318
2016-09-28,32.745,32.516,32.745,32.497,317332.0,601318
2016-09-29,32.621,32.564,32.802,32.526,230869.0,601318
2016-09-30,32.478,32.535,32.64,32.44,194031.0,601318
2016-10-10,32.821,32.955,33.145,32.669,341194.0,601318
2016-10-11,32.974,32.745,33.097,32.621,493752.0,601318
2016-10-12,32.631,32.669,32.802,32.574,308540.0,601318
2016-10-13,32.593,32.497,32.688,32.393,345467.0,601318
2016-10-14,32.507,32.488,32.554,32.431,231560.0,601318
2016-10-17,32.497,32.326,32.554,32.269,309214.0,601318
2016-10-18,32.269,32.574,32.659,32.269,283360.0,601318
2016-10-19,32.612,32.497,32.64,32.478,205152.0,601318
2016-10-20,32.535,32.516,32.612,32.488,127682.0,601318
2016-10-21,32.497,32.593,32.65,32.431,280031.0,601318
2016-10-24,32.593,32.85,33.135,32.526,420909.0,601318
2016-10-25,32.916,32.907,32.974,32.764,239719.0,601318
2016-10-26,32.916,32.783,32.993,32.755,197377.0,601318
2016-10-27,32.783,32.564,32.793,32.478,217643.0,601318
2016-10-28,32.764,32.888,33.078,32.726,325149.0,601318
2016-10-31,32.764,32.964,33.002,32.574,234352.0,601318
2016-11-01,32.983,33.393,33.431,32.859,367191.0,601318
2016-11-02,33.231,32.964,33.316,32.897,256760.0,601318
2016-11-03,32.945,33.307,33.421,32.878,405144.0,601318
2016-11-04,33.221,33.269,33.488,33.212,264479.0,601318
2016-11-07,33.316,33.326,33.383,33.221,215166.0,601318
2016-11-08,33.44,33.335,33.507,33.221,286831.0,601318
2016-11-09,33.335,33.059,33.345,32.697,688345.0,601318
2016-11-10,33.259,33.278,33.526,33.193,352803.0,601318
2016-11-11,33.288,33.326,33.564,33.202,523906.0,601318
2016-11-14,33.259,33.288,33.459,33.221,683571.0,601318
2016-11-15,33.316,33.297,33.345,33.24,286904.0,601318
2016-11-16,33.335,33.355,33.431,33.25,243869.0,601318
2016-11-17,33.326,33.335,33.355,33.145,238715.0,601318
2016-11-18,33.335,33.345,33.393,33.278,320696.0,601318
2016-11-21,33.288,34.193,34.621,33.288,1089035.0,601318
2016-11-22,34.107,34.402,34.707,34.107,737021.0,601318
2016-11-23,34.497,34.269,34.621,34.25,440133.0,601318
2016-11-24,34.269,34.688,34.888,34.269,520764.0,601318
2016-11-25,34.688,35.031,35.05,34.45,458330.0,601318
2016-11-28,35.25,34.869,35.593,34.802,688978.0,601318
2016-11-29,34.869,35.021,35.526,34.717,665386.0,601318
2016-11-30,35.059,34.602,35.326,34.507,508039.0,601318
2016-12-01,34.621,34.688,34.983,34.517,474386.0,601318
2016-12-02,34.688,34.545,34.697,34.259,633715.0,601318
2016-12-05,34.25,34.536,34.564,34.164,622095.0,601318
2016-12-06,34.469,34.45,34.736,34.412,376125.0,601318
2016-12-07,34.45,34.726,34.897,34.355,310670.0,601318
2016-12-08,34.869,34.764,34.983,34.697,295168.0,601318
2016-12-09,34.897,35.107,35.383,34.745,487033.0,601318
2016-12-12,35.355,35.145,35.964,34.955,1069343.0,601318
2016-12-13,35.05,34.907,35.183,34.802,395597.0,601318
2016-12-14,34.888,35.269,35.717,34.869,586449.0,601318
